vwg_id,pprice_qm2007,pprice_qm_se2007,pcv2007,pprice_qm2008,pprice_qm_se2008,pcv2008,pprice_qm2009,pprice_qm_se2009,pcv2009,pprice_qm2010,pprice_qm_se2010,pcv2010,pprice_qm2011,pprice_qm_se2011,pcv2011,pprice_qm2012,pprice_qm_se2012,pcv2012,pprice_qm2013,pprice_qm_se2013,pcv2013,pprice_qm2014,pprice_qm_se2014,pcv2014,pprice_qm2015,pprice_qm_se2015,pcv2015,pprice_qm2016,pprice_qm_se2016,pcv2016,pprice_qm2017,pprice_qm_se2017,pcv2017,pprice_qm2018,pprice_qm_se2018,pcv2018,pprice_qm2019,pprice_qm_se2019,pcv2019,pprice_qm2020,pprice_qm_se2020,pcv2020,pprice_qm2021,pprice_qm_se2021,pcv2021
010010000,1250.9357,5.566514,.0044498802,1341.3562,7.0745201,.0052741547,1222.575,7.01158,.0057350923,1339.9996,28.087927,.020961145,1412.5533,58.860542,.041669607,1478.1108,28.801552,.019485381,1596.2775,47.343235,.029658524,1807.6243,37.949825,.020994311,1763.2653,136.06842,.077168435,2097.759,134.71286,.064217508,2094.7612,79.176193,.037797239,2389.1118,19.767395,.0082739517,2161.3943,77.165764,.035701845,2418.0176,96.988693,.04011083,2990.4099,24.577568,.008218796
010020000,1589.5034,55.186012,.034719028,1490.2412,17.264755,.011585209,1480.8851,38.303169,.02586505,1572.1857,75.316948,.047905885,1698.9154,125.70287,.073990069,1834.9642,152.97572,.083367139,2249.7422,183.37813,.08151073,2600.0781,230.40219,.088613562,2318.3826,45.500233,.019625852,2846.627,145.35847,.051063407,3216.1565,161.48424,.050210316,3305.8853,105.80135,.032003939,3789.2656,81.337654,.021465281,3898.5254,231.08307,.05927448,4579.0166,265.76172,.058039039
010030000,1560.7196,42.569286,.027275423,1578.6019,17.194283,.010892095,1492.8986,28.37632,.019007534,1476.8833,10.761156,.0072863959,1648.4413,31.032162,.018825155,1901.0103,25.38608,.013353994,2035.2272,24.405895,.01199173,2227.7688,148.34549,.066589266,2257.7864,11.826085,.0052379114,2423.0635,26.228165,.010824382,2974.3765,83.715614,.028145602,3256.3838,36.820652,.011307221,4536.4941,360.29477,.079421408,4479.4668,55.849083,.012467797,4344.4316,177.37767,.040828738
010040000,1074.7158,29.632465,.027572373,1057.0297,10.263921,.0097101536,1094.1499,1.392447,.0012726291,1686.0948,213.5443,.12665023,1293.9844,42.457775,.03281166,1201.421,6.1967974,.0051578898,1288.2238,16.117472,.012511391,1258.5465,.00014553494,1.1563732e-07,1441.9451,16.519995,.011456744,1410.0605,15.222997,.010795988,1690.9071,46.500191,.027500145,1473.1268,55.693398,.037806246,1546.5217,92.975883,.060119353,2149.5566,3.7989604,.0017673228,3096.4539,24.619734,.0079509448
010510011,1002.6224,99.534996,.099274658,983.39636,84.57132,.085999221,934.66046,63.718559,.068172947,960.70941,71.277367,.074192435,949.57751,60.911701,.064146109,951.79333,48.638176,.051101614,931.59741,52.861584,.056742948,993.90668,115.16394,.11586998,998.91113,90.880028,.090979092,997.12561,103.38535,.10368337,1021.0084,78.011124,.076405957,1158.8816,125.00008,.10786269,1013.8877,26.107265,.025749663,1818.4265,154.15611,.084774449,2169.0293,275.94064,.1272185
010510044,1093.136,14.831947,.013568254,1101.007,24.562395,.022309028,1136.7998,32.478985,.02857054,1227.8685,39.217281,.031939317,1178.0726,50.874207,.043184269,1228.2491,33.41016,.027201451,1183.7922,7.906724,.0066791484,1172.8258,28.410269,.024223775,1235.5961,11.957525,.0096775359,1394.9012,25.068199,.017971307,1566.4777,26.182545,.016714279,1703.0951,93.930382,.055152752,2031.1282,130.74959,.06437289,2101.1895,51.511719,.024515504,2632.6973,26.255102,.0099727008
010515163,949.00391,.1681101,.00017714374,920.17773,5.5909915,.0060759909,869.20465,35.850883,.041245617,890.87817,47.146397,.052921262,881.46155,61.064312,.069276206,893.03796,19.663137,.022018256,852.21106,54.711815,.064199843,923.75317,31.654547,.034267321,1102.4003,30.621906,.027777484,1099.1816,14.67843,.013353962,1095.0149,22.153372,.020231115,1123.8378,33.97023,.030226987,1037.0176,46.810169,.045139223,1598.5718,154.59352,.096707277,1978.5214,115.40096,.058326874
010515166,1123.1847,8.6005878,.007657323,1088.6606,27.277052,.025055606,1038.5542,24.254652,.023354247,1022.5792,45.149147,.044152226,1090.7542,86.559654,.079357624,1024.2706,34.8382,.03401269,1059.351,40.173603,.037922844,1120.7168,40.522743,.03615788,1183.552,38.012573,.032117367,1211.6284,17.881004,.014757829,1264.0391,17.127356,.013549704,1494.4052,37.664345,.025203571,1188.5515,40.158405,.033787686,2047.259,121.28051,.059240431,2584.6211,243.76773,.094314687
010515169,1126.1942,.85356086,.00075791625,1123.3062,44.220009,.039365947,1174.6981,141.36159,.12033865,1090.483,95.973228,.088009834,1099.408,133.27812,.12122717,1156.0731,72.79792,.062969998,1066.9764,80.180656,.075147539,1020.9366,54.032135,.052924082,1149.8607,113.35945,.098585375,1156.9274,12.779409,.011045991,1315.5173,52.405468,.039836396,1465.7766,95.312538,.065025285,1488.0146,69.50898,.046712562,1624.2325,103.33048,.063618034,2742.6953,.90667021,.00033057635
010515172,1146.4368,24.005184,.020938952,1148.6589,20.73921,.01805515,1186.8478,85.121552,.071720697,1283.9886,36.693554,.028577788,1192.5167,103.02396,.086392052,1284.3433,57.666973,.04489997,1272.4121,34.360237,.027004017,1251.1235,36.169277,.028909437,1315.7953,45.349396,.034465387,1483.7635,32.039833,.021593625,1637.6539,41.786789,.025516251,1715.0841,64.373619,.037533797,2121.4707,302.86221,.1427605,2170.2683,139.72331,.064380661,2759.0051,109.29846,.039615173
