postcode_id,rprice_qm2007,rprice_qm_se2007,rcv2007,rprice_qm2008,rprice_qm_se2008,rcv2008,rprice_qm2009,rprice_qm_se2009,rcv2009,rprice_qm2010,rprice_qm_se2010,rcv2010,rprice_qm2011,rprice_qm_se2011,rcv2011,rprice_qm2012,rprice_qm_se2012,rcv2012,rprice_qm2013,rprice_qm_se2013,rcv2013,rprice_qm2014,rprice_qm_se2014,rcv2014,rprice_qm2015,rprice_qm_se2015,rcv2015,rprice_qm2016,rprice_qm_se2016,rcv2016,rprice_qm2017,rprice_qm_se2017,rcv2017,rprice_qm2018,rprice_qm_se2018,rcv2018,rprice_qm2019,rprice_qm_se2019,rcv2019,rprice_qm2020,rprice_qm_se2020,rcv2020,rprice_qm2021,rprice_qm_se2021,rcv2021
1067,5.8263907,.18398377,.031577658,5.9066834,.14897071,.025220703,5.9475384,.15609254,.026244897,6.1628213,.20261839,.032877538,6.5418935,.11501396,.017581142,6.9156847,.20100237,.029064711,7.3760133,.29120314,.039479747,7.797318,.25792143,.033078223,7.9348502,.22426932,.028263837,8.3130865,.00054486212,.000065542699,8.8737612,.027726188,.0031245137,8.8427868,.23124354,.026150526,9.4132347,.19501832,.020717461,9.5792513,.37823355,.039484669,9.4549274,.25943977,.027439635
1069,5.9516153,.12843981,.021580664,6.0744753,.12466051,.020522021,6.2169709,.042966925,.0069112312,6.4507318,.033819418,.0052427258,6.8053446,.022996057,.0033791172,7.1407433,.16521914,.023137527,7.6739368,.021313775,.0027774239,7.9377899,.00074999238,.000094483781,7.968339,.1294264,.016242582,8.1904831,.044160377,.0053916695,8.9317389,.25523987,.028576728,8.8689976,.013810208,.0015571329,9.3709478,.13181309,.014066143,9.5243959,.35107207,.036860298,9.432991,.01221993,.001295446
1097,5.9079452,.036615301,.0061976374,6.0378547,.030314451,.0050207321,6.0417686,.030785063,.0050953729,6.230526,.062647603,.010054946,6.6955605,.003439778,.00051374012,7.0761871,.059718847,.0084394105,7.480485,.18594857,.024857823,7.8295188,.07810232,.0099753663,7.9989138,.23905852,.029886374,8.3629827,.2093925,.025038017,9.054842,.044095203,.0048697926,8.9863777,.042145934,.0046899803,9.7019119,.14160085,.014595149,9.875,.22331427,.022614103,9.6762772,.19222,.019865079
1099,7.0049157,.046182334,.0065928465,7.1550603,.23183824,.032401998,6.9557185,.15119913,.021737386,7.0557933,.32020432,.045381758,7.6611981,.20751952,.027087083,8.0928698,.3589628,.044355441,8.2446661,.0092143919,.0011176185,8.1770916,.26265842,.032121252,8.5463066,.2677125,.031324934,8.55509,.24180014,.028263893,8.6654301,.11011747,.012707676,9.0926371,.27116582,.029822571,10.183208,.19072889,.018729746,10.322213,.24516679,.023751378,10.129135,.53934884,.053247273
1108,6.0450201,.040130373,.0066385837,6.2797508,.058826398,.0093676327,6.2202873,.057349261,.0092197126,6.1140857,.084260039,.013781298,6.1886039,.11854497,.019155366,6.6078243,.044890016,.0067934641,6.9613862,.30677843,.044068582,7.062644,.0013823108,.00019572143,7.2258844,.42311612,.058555618,7.5842032,.41244343,.054381907,7.5424385,.21348637,.028304689,8.0367212,.047396027,.005897433,9.0020571,.18608531,.020671422,7.9177222,.44304559,.055956192,7.773387,.49641562,.063860916
1109,5.8654966,.012609432,.0021497637,5.9599738,.064504378,.010822929,5.8209577,.10195958,.017515946,5.922689,.054685459,.0092332149,6.2409658,.037639808,.0060310871,6.5546312,.05091906,.0077684093,6.7893453,.036065247,.0053120363,7.3936253,.051684007,.0069903471,7.5612755,.11244715,.014871453,7.7620344,.083425313,.010747867,8.6126814,.26650754,.030943619,8.3541403,.11405391,.013652381,9.261095,.11570689,.012493867,9.2944822,.15888682,.017094746,9.1138611,.25748858,.028252413
1127,5.8207545,.10800893,.018555829,5.8960414,.087085016,.014770082,5.8894773,.11961483,.020309923,6.0446119,.093653426,.015493704,6.4468203,.083076239,.01288639,6.8067737,.081073694,.011910737,7.1413169,.036130369,.0050593424,7.5228744,.047184631,.0062721549,7.7102985,.017228318,.0022344554,8.0403862,.092141785,.01145987,8.7202702,.044808239,.0051384005,8.6133232,.14406696,.01672606,9.2333136,.35581461,.03853596,9.4117146,.24318688,.025838744,9.2768078,.0074170437,.00079952541
1129,5.6353831,.20049199,.035577349,5.671607,.13463427,.023738293,5.6710644,.25699514,.045316916,5.7575269,.25403154,.044121642,6.1321311,.15472171,.025231311,6.4673467,.15885834,.024563141,6.6913047,.24538036,.036671527,7.1479888,.027127795,.0037951646,7.3593254,.024131402,.0032790238,7.7093182,.022708885,.0029456413,8.2890253,.11908941,.014367118,8.1576042,.21688113,.026586374,8.7597475,.47500947,.054226387,9.0288973,.43932769,.048657957,8.9901657,.37276912,.041464098
1139,5.4374733,.13109064,.024108741,5.5060263,.10339575,.018778652,5.5339336,.13434258,.024276147,5.673203,.14013824,.024701785,5.945097,.12301868,.02069246,6.2739615,.14532779,.023163641,6.6114073,.055382561,.0083768191,7.001811,.055303283,.0078984257,7.1433616,.040040273,.0056052422,7.6037679,.14428386,.018975312,8.1490154,.061924841,.0075990581,8.1227245,.26467037,.032583941,8.2429409,.12175861,.014771258,8.4623032,.041844144,.0049447701,8.5355759,.080699161,.0094544487
1157,5.2254505,.21952207,.042010173,5.2657051,.24220924,.045997493,5.3280592,.26874307,.050439205,5.521255,.32021847,.057997406,5.7018166,.23710111,.041583434,5.9442034,.24669054,.041501027,6.3328347,.099995039,.015789934,6.7482877,.046255372,.0068543865,6.8367934,.11880159,.017376799,7.1779475,.1010213,.014073843,7.6582623,.006583869,.00085970794,7.6507306,.16170278,.0211356,7.5659666,.28187329,.037255421,7.6816177,.36507106,.047525283,7.8807869,.32892764,.041737918
