postcode_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,price_qm2024,price_qm_se2024
1067,5.869556,.20549116,5.9446235,.16674536,5.9789824,.17255984,6.1970639,.21171093,6.5809174,.1264423,6.964653,.22063434,7.4436183,.31036159,7.9093013,.32705754,8.0849781,.21146463,8.4542007,.031618338,9.003521,.01521667,9.0029516,.25925744,9.6251965,.27749285,9.7914934,.49057651,9.7656708,.26843381,10.575572,.46282366,10.876014,.36440113,11.108028,.018647464
1069,5.9956813,.14832765,6.1169109,.13393773,6.2466989,.056655549,6.4912343,.027684335,6.8560729,.018993972,7.1909628,.17065294,7.7368541,.024555489,8.0284595,.060205638,8.1309614,.046204507,8.3149195,.00083693827,9.0520821,.21286818,9.0130939,.048390556,9.5373268,.13912652,9.6415215,.41949019,9.7135868,.040296771,10.295687,.017977739,11.013748,.081734017,11.078941,.16871557
1097,5.9394336,.047530953,6.0703883,.018922085,6.0646448,.043730631,6.2560549,.068750858,6.7359819,.0091245314,7.1264405,.060898986,7.547348,.17957927,7.9548864,.0155824,8.1379471,.26039779,8.5078335,.2042315,9.1690207,.033590335,9.1557474,.080518015,9.9004393,.19846654,10.083821,.29521665,10.045974,.30517015,10.893041,.56254804,10.819558,.27236497,11.058858,.14753713
1099,7.003191,.034102283,7.1866035,.24472253,6.9907627,.18760592,7.070262,.37571472,7.6930017,.20065747,8.1332731,.39048678,8.2950897,.065480173,8.3612394,.11088334,8.5160065,.30095232,8.7310781,.39478424,8.8171473,.2130951,9.2315798,.18059976,10.291012,.29597059,10.618689,.1233875,10.638578,.54831988,11.132887,.85735387,10.61293,.71583164,10.913143,.45948213
1108,5.9508657,.0025152969,6.2104578,.030517176,6.1671295,.030697729,6.03935,.054861199,6.1086178,.1554641,6.5130019,.020611716,6.8923893,.28110585,7.0204167,.012925039,7.171144,.41766,7.4907455,.36436856,7.4637094,.19598861,8.0165968,.02667745,8.7725735,.25936955,7.8604841,.46192384,7.7012186,.27203047,8.4718494,.18376952,9.1291237,.19424617,9.338872,.061608627
1109,5.8124633,.034049738,5.9096088,.10807982,5.7746077,.14739564,5.8686781,.094158299,6.1891246,.0074111107,6.5050592,.076101162,6.7557302,.1005815,7.4578376,.019481283,7.4536352,.19428103,7.7165561,.12070148,8.5704193,.22665584,8.3885193,.14455298,9.2770262,.080722205,9.3698034,.19119184,9.3686619,.31870463,10.854836,.83698118,9.7947273,.22576334,10.122986,.2932381
1127,5.8383617,.145364,5.9103494,.11800237,5.8974752,.15219121,6.0504766,.12840445,6.457088,.11280689,6.8180785,.11430041,7.1662068,.055036105,7.6001,.010694616,7.7835464,.037473403,8.1204786,.11454052,8.7973185,.044338439,8.7208252,.1646084,9.3733454,.37040389,9.5834904,.25237265,9.5690355,.047630116,10.642424,.058681313,10.39649,.24287741,10.704695,.024381565
1129,5.6417079,.21966606,5.6730013,.15553115,5.6736403,.28166044,5.750751,.27142668,6.1297359,.18170939,6.4679394,.1858108,6.7070737,.25125781,7.2188272,.0218348,7.3823299,.03154761,7.7654381,.034725402,8.3331671,.10028195,8.2412271,.22529049,8.8793764,.54750299,9.2407551,.46804181,9.2608299,.51199603,10.391282,.45584622,9.7937117,.033558391,10.202391,.031643234
1139,5.4289565,.15664509,5.4929624,.12695949,5.5183358,.16107534,5.6565018,.16510324,5.9230599,.14560503,6.25635,.17049398,6.6084676,.06641382,7.0290246,.05154521,7.1763053,.038914297,7.6402373,.14120516,8.1747465,.033762399,8.1636925,.26757443,8.3231297,.15445411,8.6160326,.017881423,8.6790495,.058072906,9.6764421,.438851,9.5939865,.38815224,10.051577,.14655949
1157,5.2156591,.24025506,5.2534714,.2579208,5.3167748,.28420615,5.5097175,.33628607,5.6857738,.24605684,5.9246163,.26623008,6.3251443,.11553588,6.7529268,.058820084,6.8701787,.11959179,7.2121978,.10388077,7.6959438,.0046956236,7.6765704,.14716059,7.6201549,.30776292,7.7783523,.38373342,7.944212,.39896202,8.8253489,.37786907,9.1181116,.016999366,9.671524,.12897763
