postcode_id,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
1067,1683.2145,146.34016,1600.0168,128.10364,1472.5322,179.7162,1648.6609,32.337154,1988.22,74.985008,2190.4924,13.241858,2516.6411,311.28336,2675.7817,17.128778,2548.4346,8.9259167,2420.5359,59.619411,2648.7361,197.45282,2983.6885,124.32228,3120.6731,161.93205,3584.1533,72.654221,4602.7319,329.23911,4528.3145,74.043732,4121.0649,52.87492
1069,1771.1398,102.55883,1736.2544,74.713005,1651.6263,37.721943,1864.2449,63.72887,2160.4377,60.122269,2454.2517,108.45773,2807.7686,136.92023,3101.666,18.517723,2906.0032,157.58037,2709.717,93.644234,2940.1025,111.78043,3231.3489,153.62737,3726.3606,111.0049,4065.9966,124.27679,4751.7734,320.68588,5013.1851,139.81213,4371.2476,283.08005
1097,1696.4685,103.2653,1626.4756,28.142519,1553.8065,71.802841,1731.5204,68.013649,2107.3335,121.76579,2226.1633,27.956636,2680.6282,176.07405,2790.2075,9.7997522,2616.2837,166.78368,2552.5779,204.6452,2683.3457,63.064835,3020.8447,109.216,3280.7725,8.6404324,3523.6006,102.90562,4525.0142,167.89302,4318.1899,120.70016,3980.7747,203.64961
1099,2291.8018,96.270149,2189.9612,1.1493213,2287.5569,57.963848,2030.1403,75.733162,2416.8423,8.3192291,2492.717,132.31392,2623.8052,77.973602,3394.8167,448.31555,3127.3459,294.79373,3089.6069,64.355331,2821.2463,43.997189,2504.7927,219.59438,3447.8433,133.04517,2675.9214,249.48886,4135.834,129.95549,3897.7148,309.45871,3967.8604,170.77678
1108,1608.1895,78.113701,1615.2668,128.3479,1800.994,80.836029,1728.1984,133.75262,1655.676,19.392324,2056.8977,2.2999084,1956.1783,58.186436,1862.4456,127.64562,1853.5258,136.8822,1938.4413,50.109406,2120.0403,479.73798,1948.9617,107.4156,1887.4147,179.53813,1672.5547,109.3238,2774.2234,128.6718,3113.2249,157.33195,3273.8101,44.465511
1109,1608.7446,115.77221,1578.7303,57.589298,1689.8453,72.001343,1676.9148,57.169987,1921.4933,53.945705,2008.5944,71.23217,2101.0459,96.770767,2028.7332,13.945091,2057.6755,65.973083,2361.561,1.8391418,2491.6487,210.71028,2738.5039,101.87534,2406.5166,131.3327,2461.7876,202.28128,3582.5254,185.22572,3255.093,334.04599,3211.7012,64.60775
1127,1572.8555,5.9471712,1512.5303,43.982185,1414.5861,74.608124,1627.5754,116.5172,2006.1864,6.4652815,2053.6892,75.629509,2329.0542,71.934311,2401.4719,134.42276,2319.3767,183.29468,2434.998,204.38095,2536.3425,139.83882,2820.585,84.660233,2956.7161,57.616482,3458.908,288.17676,4310.1646,87.669289,4028.5415,62.879498,3748.0764,120.75994
1129,1468.4935,85.413162,1399.8118,72.976814,1330.7434,53.531681,1405.0533,40.944374,1693.2394,17.296703,1728.7495,55.504662,1949.9087,46.949631,1946.2117,19.681715,1940.9272,38.657207,2160.9268,42.089481,2384.5381,22.217253,2625.5522,68.947861,2531.5598,46.302032,2913.6658,226.53197,3829.5669,212.26459,3694.9675,234.4447,3330.8491,115.03088
1139,1521.0074,18.75551,1404.2423,9.4096451,1284.0417,18.008671,1405.2578,98.85466,1612.5564,39.012333,1803.8895,31.596979,2055.3103,205.84235,1904.6276,109.9204,2008.4814,36.703297,2249.9407,25.934004,2485.3276,32.689262,2648.4551,79.478844,2672.1587,166.92792,2984.2156,322.13187,3892.1824,104.66129,4100.3843,331.81195,3723.7029,158.49693
1157,1551.5271,38.556511,1414.5729,127.59412,1272.0349,95.82309,1379.1949,69.959419,1526.9253,67.471375,1783.0144,64.98333,1990.0829,198.26595,1837.3665,46.723335,1997.308,67.170135,2179.6826,82.171516,2357.7947,22.496874,2424.3674,118.08138,2634.0803,34.910011,2709.0369,62.352516,3795.8838,156.06676,4038.8289,202.87399,3541.7109,131.467
1159,1549.5225,112.51137,1482.9706,19.238268,1331.5168,74.469261,1469.8066,11.640122,1681.8608,148.07716,2021.1443,59.435452,2243.0703,160.42067,2372.9771,128.18564,2312.0527,10.906538,2219.165,67.872276,2395.3193,52.019382,2657.3762,26.69046,2883.9233,126.63745,3185.7053,146.00746,4086.2632,134.28204,4153.9902,162.91183,3643.5874,128.71521
1169,1462.5133,45.384857,1344.1495,119.86398,1240.871,91.804474,1304.6003,5.1899524,1425.0005,64.235054,1708.6785,129.19682,1841.1135,180.31375,1837.7034,107.01035,1982.7672,11.746307,2004.1201,211.38699,2142.3354,99.061508,2240.3604,48.75967,2505.5383,153.63406,2597.425,134.30038,3608.6738,259.31604,3793.9485,614.48163,3270.0017,126.18462
