price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023,postcode_id
5.8677006,.20848306,5.9417853,.16958968,5.9751296,.17507176,6.1927304,.21467169,6.5755134,.12937027,6.9584107,.22343977,7.4372144,.31407541,7.902473,.32930404,8.0766296,.21528451,8.4428062,.029592652,8.9942312,.013058283,8.9896631,.25720882,9.6121855,.27068236,9.7818184,.47894573,9.7581587,.26071465,10.563416,.45963579,10.876409,.35592669,1067
5.9943714,.14916998,6.1148062,.13507843,6.243526,.058513127,6.4876094,.02990859,6.8516035,.02144181,7.1855726,.17235667,7.7310352,.027209049,8.0220089,.064054325,8.1241703,.049645692,8.3055468,.0026608913,9.045043,.21746048,9.0028353,.046257712,9.5272903,.13254181,9.6367807,.41291913,9.7131014,.03216318,10.290423,.01507973,11.027601,.071090154,1069
5.9357605,.047199737,6.0658298,.019246453,6.0591917,.043622952,6.2502289,.069172353,6.7289424,.0095545854,7.1180458,.061390068,7.5387626,.18012775,7.9462843,.01617837,8.1281796,.26077926,8.4949255,.20281841,9.1582994,.034002624,9.1414452,.083619982,9.887394,.19629435,10.067983,.29610932,10.035299,.30370897,10.881028,.56054062,10.81961,.27991265,1097
7.0005698,.023993347,7.1827245,.23427822,6.987371,.1772501,7.0657411,.36410555,7.6887517,.21224441,8.1281252,.40148228,8.2890959,.077619694,8.3553791,.097845413,8.508646,.2869589,8.7243996,.37988883,8.8108883,.20104177,9.2234163,.17273839,10.288766,.3079384,10.611674,.13710941,10.63664,.56423503,11.125017,.86287898,10.626328,.72913772,1099
5.9525471,.0055497433,6.2114024,.033495117,6.1667571,.033121563,6.040216,.057866625,6.1090064,.15160665,6.5168958,.024777826,6.8989573,.28400144,7.0246429,.0082886387,7.1762276,.41815373,7.496819,.36355695,7.4621067,.19504355,8.0214548,.025940567,8.7749882,.26516259,7.8474913,.47038123,7.7046185,.28061286,8.4874821,.18737653,9.1395712,.19601105,1108
5.8218522,.029813422,5.9165659,.10307717,5.7800007,.14186512,5.8735271,.088344507,6.1941652,.012219667,6.5103898,.072185874,6.7599387,.095551565,7.4615092,.026174989,7.455265,.18760991,7.7179379,.11619005,8.5745811,.23357376,8.3898678,.13877915,9.2810574,.085791625,9.369339,.19548194,9.3675098,.32042295,10.853023,.84212673,9.8058071,.23592393,1109
5.8350787,.14179094,5.9063659,.11471775,5.8927941,.1493776,6.045465,.12544245,6.4507761,.10992049,6.810595,.1115737,7.1588778,.052014355,7.5923862,.0076549044,7.7745328,.040260896,8.1092196,.11490139,8.7881155,.043861672,8.7061815,.16485019,9.3608208,.36920643,9.5685396,.25168964,9.5570078,.049397077,10.626452,.049195871,10.395988,.23873949,1127
5.6390171,.22181243,5.669558,.15749533,5.6694045,.2833111,5.7460699,.27305993,6.1243024,.18317503,6.4618039,.18735322,6.700501,.25274473,7.2114539,.019650521,7.3735743,.033138301,7.7552214,.033645656,8.323801,.10025367,8.2276516,.22346748,8.866024,.5425083,9.2201185,.4591592,9.2458296,.5032987,10.375535,.45545226,9.7884235,.038843911,1129
5.4279366,.154265,5.491322,.12448404,5.5155783,.15862432,5.6531329,.16311294,5.9191241,.14359662,6.2513461,.16843362,6.6036024,.063987389,7.024179,.049104426,7.1703982,.036521424,7.6315942,.14456995,8.1678619,.037003998,8.1510267,.26934448,8.3143349,.1560017,8.6085272,.01370979,8.6748838,.061980586,9.6653576,.44014743,9.5917854,.39579895,1139
5.2110128,.24318442,5.2480106,.26076725,5.3101473,.28687376,5.5024734,.33962965,5.6777983,.24878222,5.9157162,.26864672,6.3157153,.11834273,6.742661,.061696041,6.8588691,.11501499,7.1985598,.10011825,7.6829958,.0017037473,7.6587706,.14286825,7.6052485,.30372322,7.7691288,.38212654,7.9368105,.39292476,8.8095579,.37503123,9.108593,.015225028,1157
