vwg_id,rprice_qm2007,rprice_qm_se2007,rcv2007,rprice_qm2008,rprice_qm_se2008,rcv2008,rprice_qm2009,rprice_qm_se2009,rcv2009,rprice_qm2010,rprice_qm_se2010,rcv2010,rprice_qm2011,rprice_qm_se2011,rcv2011,rprice_qm2012,rprice_qm_se2012,rcv2012,rprice_qm2013,rprice_qm_se2013,rcv2013,rprice_qm2014,rprice_qm_se2014,rcv2014,rprice_qm2015,rprice_qm_se2015,rcv2015,rprice_qm2016,rprice_qm_se2016,rcv2016,rprice_qm2017,rprice_qm_se2017,rcv2017,rprice_qm2018,rprice_qm_se2018,rcv2018,rprice_qm2019,rprice_qm_se2019,rcv2019,rprice_qm2020,rprice_qm_se2020,rcv2020,rprice_qm2021,rprice_qm_se2021,rcv2021
010010000,5.0955129,.049239308,.009663268,5.3764009,.052673768,.0097972173,5.5170188,.10340685,.018743249,5.7688584,.073288746,.012704203,5.8462458,.068974227,.011798037,6.0010066,.11372551,.018951071,6.2031622,.083581537,.013474021,6.3382182,.084669247,.013358525,6.4938278,.074394614,.011456204,7.0182586,.03015347,.0042964318,7.2365069,.073628858,.01017464,7.6160145,.084896475,.0111471,7.9312911,.12216626,.015403073,8.2892447,.084284313,.010167913,8.3710413,.1840198,.021982905
010020000,6.7526026,.36649659,.054274864,6.807755,.29473177,.043293532,6.7751722,.16534929,.02440518,6.9850516,.21664126,.031014984,7.1445847,.18587808,.02601664,7.3062305,.21480867,.029400753,7.5169625,.1498418,.019933823,7.8317752,.16004431,.020435253,7.5585737,.11389489,.015068304,7.9888806,.057482921,.0071953661,8.9201651,.22208874,.02489738,9.299366,.28201726,.030326504,9.4457645,.23092566,.024447536,9.6598005,.33094376,.034259897,10.084763,.34264666,.03397667
010030000,6.7754588,.093801513,.013844305,6.8422184,.18428273,.026933186,6.6861477,.21741123,.032516666,6.9582214,.22737333,.032676931,7.1190643,.21954812,.030839464,7.2879739,.27382305,.037571903,7.3566947,.30388269,.041306958,7.7167258,.25716856,.033326123,7.7265215,.22417651,.029013898,7.8158531,.29640934,.037924118,8.4193945,.34371594,.040824305,8.8752737,.34971038,.039402772,9.0464153,.4280957,.047322135,9.6159811,.26773581,.027842797,10.232218,.33813736,.033046342
010040000,5.077352,.01040535,.0020493655,5.0770049,.015153836,.0029847985,5.1588511,.0036998442,.00071718375,5.1966729,.0076715583,.0014762442,5.2013016,.072249085,.013890577,5.308475,.048944525,.009220073,5.3696074,.0033825594,.00062994537,5.6282849,.012959159,.0023025058,5.569139,.050133746,.0090020644,6.1735091,.03310493,.0053624171,6.4661598,.0079455841,.0012287949,6.5756416,.0088237254,.0013418805,7.2574186,.10526326,.014504229,7.084404,.026146431,.0036907028,7.5225458,.007152352,.00095078879
010510011,4.8375444,.11166287,.023082552,4.753541,.015989456,.0033636938,4.7331753,.043493457,.0091890655,4.5866179,.029625585,.0064591351,4.5566792,.015453154,.0033913192,4.6572866,.0058445325,.0012549222,4.7838025,.15757447,.03293917,4.9273324,.055937402,.011352472,5.1220713,.044303369,.0086495029,5.4812613,.037459493,.0068341009,5.8703122,.011871693,.0020223274,6.1427159,.14354993,.023369132,6.1547084,.13822217,.022457957,6.3903904,.07190685,.011252341,6.8481169,.042919222,.0062673027
010510044,5.2295017,.19350898,.037003331,5.1271229,.037682805,.0073496979,5.0385399,.031704269,.0062923525,5.0227671,.19129364,.038085312,5.1609125,.011034212,.0021380351,5.3075247,.0017725588,.00033397091,5.2600918,.00019930641,.000037890291,5.3318071,.079122148,.014839649,5.6031837,.088866487,.015859999,5.7524853,.062789612,.010915214,6.0314794,.094184265,.01561545,6.2068982,.19020584,.030644266,6.6250257,.21417925,.032328818,6.6178498,.19618391,.029644659,7.6910911,.34700623,.045117944
010515163,4.3961711,.24484991,.055696175,4.4588165,.041908748,.0093990741,4.4551101,.0068451725,.0015364767,4.2749214,.023848675,.00557874,4.4220829,.1423977,.032201499,4.3880625,.1297318,.029564712,4.3154254,.1820472,.042185228,4.6499362,.0022835452,.00049109175,4.7813663,.077841245,.016280126,5.0918431,.18158987,.035662897,5.5266795,.27847818,.050387971,5.8700476,.16632834,.028335093,5.8148527,.20561858,.035360925,5.7386155,.14258377,.024846371,6.1952472,.40091863,.064713903
010515166,5.2945933,.1122589,.021202553,5.1667695,.074144416,.014350247,5.179821,.03893391,.0075164586,5.0616779,.062897213,.012426158,5.112555,.050603084,.0098978076,5.0724258,.015657516,.0030867904,5.1201644,.073293686,.014314713,5.3307276,.094314352,.017692585,5.5496659,.024830198,.0044741789,5.9767427,.12494252,.020904785,6.5402884,.16442336,.025140079,6.6928587,.16252716,.024283668,6.7545094,.11577126,.017139846,6.925735,.082036354,.011845147,7.7744741,.45348418,.058329884
010515169,4.8290124,.10246,.021217588,4.764164,.065334447,.013713728,4.8152332,.0065455851,.0013593496,4.756424,.050259843,.010566729,4.8154678,.06672062,.013855481,5.0699401,.018290287,.0036075942,5.0371475,.066763185,.013254165,5.0804896,.020325281,.004000654,5.3310037,.085079804,.015959434,5.5550866,.12325169,.022187177,5.8889718,.0019571248,.00033233728,5.9804506,.013817338,.0023104176,6.5777698,.033995382,.0051682233,6.5558715,.099951699,.015246134,7.7061467,.14842437,.019260516
010515172,5.2513318,.27285957,.05196007,5.1285672,.082203552,.016028561,5.0443001,.090210624,.017883675,5.0779476,.1898284,.037382897,5.2443104,.031627387,.0060307998,5.371325,.049197484,.0091592828,5.2890224,.025467856,.0048152292,5.3306308,.085161328,.015975844,5.6479411,.087695792,.015527037,5.8130827,.059553437,.010244725,6.0976672,.10427676,.01710109,6.2621088,.19768611,.031568617,6.6960225,.23315471,.034819882,6.6956754,.22269392,.033259366,7.7538376,.30242285,.039002988
010515175,4.8668861,.11159234,.022928899,4.8502736,.063198566,.013029898,4.7303119,.039855458,.0084255459,4.7991228,.028917272,.0060255327,4.9399829,.02754692,.0055763191,5.0351486,.020084919,.0039889426,4.9327445,.018843578,.0038201001,5.1444793,.0044965399,.00087405153,5.1628423,.086648554,.016783111,5.3049455,.06439919,.012139463,5.6355329,.09292227,.01648864,5.862504,.060636174,.010343051,6.0954299,.11280598,.01850665,6.0953465,.077036969,.012638653,7.1803131,.64593142,.089958668
010515178,6.0178361,.13115636,.021794604,5.8846774,.1002685,.017038912,5.8698931,.078594133,.013389364,5.942112,.085084334,.014318871,6.1244822,.19349603,.031593859,6.2579594,.037482098,.0059895082,6.239985,.0029719856,.0004762809,6.347836,.041607626,.0065546157,6.6976972,.03901853,.0058256635,6.8789806,.042234048,.0061395797,7.1768012,.015916834,.0022178174,7.4970994,.01234682,.0016468796,7.9042525,.083041564,.010505935,8.0262346,.11073128,.013796168,9.1556215,.039133683,.0042742793
010530032,6.6495509,.078696787,.011834903,6.5200405,.088216759,.013530094,6.2263827,.0050325762,.00080826646,6.3048859,.093971007,.014904474,6.3442564,.10833959,.017076798,6.4183507,.034631845,.0053957547,6.5897255,.023508819,.0035674958,7.0105157,.090026662,.012841661,7.3707085,.098470978,.013359771,7.8611927,.41003001,.052158754,8.1132135,.38651961,.047640756,8.4905071,.086681545,.010209231,8.8587303,.19064108,.021520136,8.7451258,.5314886,.06077541,9.4110298,.24283671,.025803415
010530083,5.5012388,.10743366,.019528994,5.574079,.092898332,.016666131,5.531291,.17467228,.031578936,5.2650833,.3183856,.060471144,5.3615952,.29985419,.055926301,5.5508528,.13798575,.024858478,5.6168284,.1679316,.029897939,5.8875513,.09198001,.015622796,6.1492343,.11783521,.019162582,6.5789018,.0034196412,.00051978906,6.7673488,.17708011,.026166836,7.1682382,.27470636,.038322717,7.5005889,.40572029,.054091793,8.3201685,.39120311,.047018651,8.4381857,.12912354,.015302286
010530090,5.6524968,.029608667,.0052381572,5.4597497,.15831989,.028997647,5.2919254,.00088195584,.00016666067,5.2785745,.17660604,.033457149,5.2719011,.1963225,.037239414,5.2705312,.35757813,.067844801,5.3343716,.40985891,.076833591,5.5499263,.3237083,.058326595,5.9409809,.1635882,.027535554,5.9166136,.10494146,.017736744,6.5166321,.13748433,.021097451,6.7360826,.07450784,.011061004,7.0365195,.19944814,.028344715,7.6965866,.18667017,.024253631,7.7199154,.36809367,.047681049
010530100,5.3276029,.25395641,.047668044,5.4211521,.028204938,.0052027572,5.3576374,.11984016,.022368098,5.4257603,.0026687714,.00049187051,5.4912524,.088621959,.016138751,5.5540233,.14098117,.025383612,5.7627587,.099197157,.017213484,5.9643927,.24138011,.04047019,6.1115303,.072957419,.011937668,6.1569729,.030589072,.0049681999,6.7987914,.071160175,.010466591,7.142158,.12759414,.01786493,7.2868962,.028602248,.0039251619,7.8957715,.17617117,.02231209,8.183959,.3200565,.039107785
010530116,6.3188329,.18880507,.029879738,6.1525774,.2400233,.039011829,5.9098048,.064969175,.010993456,6.0202408,.1842007,.030596901,6.0120058,.18497825,.030768141,6.1817861,.014391704,.002328082,6.1545997,.16198578,.026319467,6.6025305,.17398359,.026351046,6.9716039,.14962897,.021462632,7.4546123,.087123714,.011687223,7.6848674,.19313699,.025132118,8.10252,.025483275,.0031451047,8.4231129,.034272321,.0040688426,8.7086143,.47720176,.054796521,9.0874147,.26201665,.028832914
