county_id,rprice_qm2007,rprice_qm_se2007,rcv2007,rprice_qm2008,rprice_qm_se2008,rcv2008,rprice_qm2009,rprice_qm_se2009,rcv2009,rprice_qm2010,rprice_qm_se2010,rcv2010,rprice_qm2011,rprice_qm_se2011,rcv2011,rprice_qm2012,rprice_qm_se2012,rcv2012,rprice_qm2013,rprice_qm_se2013,rcv2013,rprice_qm2014,rprice_qm_se2014,rcv2014,rprice_qm2015,rprice_qm_se2015,rcv2015,rprice_qm2016,rprice_qm_se2016,rcv2016,rprice_qm2017,rprice_qm_se2017,rcv2017,rprice_qm2018,rprice_qm_se2018,rcv2018,rprice_qm2019,rprice_qm_se2019,rcv2019,rprice_qm2020,rprice_qm_se2020,rcv2020,rprice_qm2021,rprice_qm_se2021,rcv2021
01001,5.1585627,.034024473,.0065957275,5.4273186,.0324919,.0059867315,5.6307006,.063126385,.011211107,5.7488961,.024679802,.0042929635,5.7977591,.010325447,.0017809375,5.9170599,.005751282,.00097198307,6.2173915,.044225805,.0071132411,6.309895,.027449753,.0043502711,6.454186,.0080687394,.001250156,7.0647612,.035721831,.0050563393,7.2170959,.0031231728,.00043274648,7.5797029,.011755086,.0015508637,7.9753718,.019391384,.002431408,8.2819834,.0065354039,.00078911096,8.3409262,.0036550055,.00043820139
01002,5.8484139,.23801777,.040697832,6.2262897,.14396268,.023121744,6.3942599,.096882805,.015151528,6.4789991,.1135166,.0175207,6.7083216,.080533668,.012005039,6.7974396,.084394857,.012415683,6.995379,.11163567,.015958488,7.3606892,.096806958,.013151888,7.3032136,.08972089,.012285125,7.6039462,.12779415,.016806293,8.3054819,.1221002,.014701158,8.6514349,.15206912,.01757733,8.8057604,.17936692,.020369271,9.0002804,.16021581,.017801203,9.3799648,.18197174,.019400045
01003,6.0711689,.047500663,.007823973,6.2114244,.066949114,.010778383,6.2811818,.069765262,.011107028,6.4781156,.05748079,.0088730725,6.5726385,.082731262,.012587222,6.7181802,.083287627,.012397349,6.8812304,.072015919,.010465559,7.177794,.10190874,.01419778,7.2945461,.067902185,.0093086241,7.5048094,.026351161,.0035112365,8.0664101,.023344446,.0028940316,8.5342722,.010024731,.001174644,8.8084526,.015881237,.0018029542,9.1760731,.027726952,.0030216577,9.598424,.0011072508,.00011535756
01004,5.2105479,.069872595,.013409836,5.1328793,.066814944,.01301705,5.1994462,.05365834,.010320011,5.2203054,.016869994,.0032316104,5.2803612,.028603941,.0054170424,5.3656321,.034771547,.0064804195,5.4077187,.025697712,.0047520432,5.6185837,.047638681,.00847877,5.6571507,.061292373,.010834496,6.088769,.07751061,.012730096,6.4044285,.052107088,.0081361029,6.5653887,.064237028,.0097841928,7.0652766,.074002236,.010474075,7.0730815,.043541901,.0061560017,7.5901046,.023713212,.0031242273
01051,4.9992437,.16064964,.03213479,4.9827652,.14463447,.029026948,5.0487013,.14865018,.029443253,4.8603592,.01255989,.0025841484,4.8302774,.042654891,.0088307327,4.932725,.16201064,.032844044,5.0492101,.15531725,.030760702,5.1836243,.0063837459,.0012315217,5.3848391,.075904399,.014095945,5.7444258,.24301673,.042304792,6.1598659,.23570257,.038264237,6.4919357,.041605014,.0064087226,6.4777369,.014129967,.0021813123,6.6693602,.28626612,.042922575,7.2437463,.30752745,.042454202
01053,6.8342342,.16690694,.024422185,6.6776195,.16740236,.025069168,6.3426671,.23468909,.03700164,6.3887377,.23971321,.037521217,6.4275126,.29272014,.045541745,6.4922915,.063811772,.0098288516,6.6790781,.19218859,.028774718,7.1265531,.32685909,.045864962,7.5122433,.42006549,.055917449,8.0215521,.70453143,.087829813,8.3338709,.77367646,.092835188,8.6481428,.26121002,.030204175,9.0162783,.30557024,.033890951,8.8917847,.17560239,.019748835,9.5668564,.078134276,.008167184
01054,5.1090908,.17370071,.033998359,4.9043212,.19540575,.039843589,4.957026,.14727655,.029710667,4.9638929,.21335018,.042980414,5.1240544,.26609099,.051929776,5.3133955,.40429881,.076090477,5.4003611,.26439732,.048959192,5.3900671,.11135393,.020659098,5.6461062,.08088845,.014326413,5.91152,.18590845,.031448502,6.1085997,.20899697,.034213565,6.307879,.11244529,.017826164,6.9494348,.37303072,.053677849,6.9012561,.021136289,.0030626729,7.6019039,.052523732,.0069092866
01055,6.1680813,.35513243,.057575837,6.1507063,.42208138,.068623237,6.4752364,.8376953,.12936907,6.6475945,.85097325,.12801221,6.6011806,.66346186,.10050654,6.6105342,.58066905,.087839961,6.5889893,.71120912,.10793903,6.9831095,.91780734,.13143247,7.1248469,.70442146,.098868296,7.2516942,.66449034,.091632426,7.7959743,.63722098,.081737183,8.1316929,.88914078,.10934264,9.3750725,1.3186079,.14065042,9.5193777,.52581006,.055235758,9.7917471,.76173502,.077793576
01056,6.3416629,.01882185,.0029679677,6.2415123,.043191854,.0069200941,6.1092381,.16962095,.027764665,6.0847731,.17227978,.028313262,6.1401491,.17111619,.027868409,6.2939787,.26983249,.042871531,6.4424524,.23912497,.037117071,6.7235379,.28737637,.042741839,6.6526904,.18569022,.027912049,7.2945018,.4575268,.062722147,7.5182519,.29508808,.039249562,7.7188196,.32843477,.042549871,8.1367245,.24634944,.030276243,8.2568178,.48941946,.059274588,8.5046854,.53598654,.063022502
01057,5.1244054,.45156339,.088120155,5.1573768,.44977883,.087210774,4.9440742,.49460325,.10003961,4.9976597,.49853605,.099753901,5.451025,.50269496,.092220262,5.2823315,.49345955,.093416996,5.367311,.36673051,.068326674,5.563879,.5083496,.091366038,5.759201,.24967432,.04335225,5.6893344,.33278069,.058492023,5.7806606,.6387217,.11049286,5.9924197,.77985513,.13014027,6.3089485,.64854848,.10279819,6.8273573,.68515956,.10035502,7.0109982,.91502798,.13051322
